ticker,transaction_key,transaction_date,reporting_name,transaction_type,shares,price,value,filing_date,securities_owned
NEM,96a1035c78a5,2026-03-18,TOTH PETER,S-SALE,3000.0,108.0,324000.0,2026-03-20,55315.0
NEM,eba6b07d5622,2026-03-16,FRY DAVID JAMES,S-SALE,18394.0,111.45,2050011.3,2026-03-18,17147.0
NEM,9207315fbc88,2026-03-03,RODGERS MARK C,S-SALE,1361.0,120.78,164381.58,2026-03-04,25756.0
NEM,929574be1b89,2026-03-03,THORNTON DAVID JOHN,S-SALE,8060.0,120.78,973486.8,2026-03-04,27264.0
NEM,2fd46e693656,2026-02-27,TABOLT BRIAN,A-AWARD,490.0,0.0,0.0,2026-03-03,33709.0
NEM,8881ea2d30e7,2026-03-02,TABOLT BRIAN,F-INKIND,215.0,127.47,27406.05,2026-03-03,33494.0
NEM,99596941fcd0,2026-02-27,CMIL JENNIFER,A-AWARD,2041.0,0.0,0.0,2026-03-03,70493.0
NEM,c06e3f0b0f37,2026-03-02,CMIL JENNIFER,F-INKIND,893.0,127.47,113830.70999999999,2026-03-03,69600.0
NEM,b7ff8dc1a829,2026-02-27,THORNTON DAVID JOHN,A-AWARD,1361.0,0.0,0.0,2026-03-03,36867.0
NEM,aa75106fc430,2026-03-02,THORNTON DAVID JOHN,F-INKIND,599.0,127.47,76354.53,2026-03-03,36268.0
NEM,82726556ff0d,2026-03-02,THORNTON DAVID JOHN,S-SALE,944.0,131.14,123796.15999999999,2026-03-03,35324.0
NEM,ef55bd900e51,2026-02-27,HARDY FRANCOIS,A-AWARD,1701.0,0.0,0.0,2026-03-03,38232.0
NEM,c97fce1390a4,2026-03-02,HARDY FRANCOIS,F-INKIND,745.0,127.47,94965.15,2026-03-03,37487.0
NEM,b8629ccd5834,2026-02-26,HARDY FRANCOIS,F-INKIND,3206.0,124.85,400269.1,2026-03-02,37934.0
NEM,c18c879c736a,2026-02-27,HARDY FRANCOIS,F-INKIND,1403.0,127.47,178840.41,2026-03-02,36531.0
NEM,ad8edeec7bd3,2026-02-26,TABOLT BRIAN,F-INKIND,2005.0,124.85,250324.25,2026-03-02,34431.0
NEM,3dc62300c1a8,2026-02-27,TABOLT BRIAN,F-INKIND,1212.0,127.47,154493.63999999998,2026-03-02,33219.0
NEM,2cda06faf9f7,2026-02-26,THORNTON DAVID JOHN,F-INKIND,1921.0,124.85,239836.84999999998,2026-03-02,36635.0
NEM,23d90a122c0c,2026-02-27,THORNTON DAVID JOHN,F-INKIND,1129.0,127.47,143913.63,2026-03-02,35506.0
NEM,d7bd95bb7158,2026-02-26,TOTH PETER,F-INKIND,3321.0,124.85,414626.85,2026-03-02,59011.0
